,assists,creeps_stacked,deaths,denies,duration,hero_damage,kills,last_hits,levels,name,net,obs_placed,sen_placed,tower_damage,xpm
383,19,33.0,39,16,34.1,44878.0,7,709,79,Tundra Esports,40605.0,16.0,24.0,538.0,1890
384,52,18.191974595842957,5,15,19.46,29861.0,20,326,59,Team Liquid,45575.0,13.504618937644342,19.03002309468822,6943.0,2086
385,8,18.191974595842957,22,23,19.46,20985.0,5,435,52,OG,24620.0,13.504618937644342,19.03002309468822,493.0,1636
386,17,7.0,37,41,28.34,67931.0,8,696,70,OG,62238.098293113595,14.0,15.0,6876.0,1826
387,73,6.0,8,43,28.34,75269.0,34,651,86,Team Liquid,62238.098293113595,13.0,17.0,17670.0,2542
388,64,20.0,36,27,48.48,163912.0,24,1460,125,Royal Never Give Up,99871.0,22.0,38.0,12580.0,2967
389,62,41.0,25,45,48.48,124433.0,36,1733,133,Team Aster,110873.0,22.0,35.0,34336.0,3453
390,59,19.0,15,45,43.38,85010.0,27,1072,112,Team Secret,89544.0,18.0,9.0,14971.0,2528
391,48,39.0,29,34,43.38,64010.0,15,1048,98,OG,62534.0,17.0,17.0,4464.0,2071
392,120,48.0,36,90,68.34,201543.0,43,2038,136,Fnatic,133602.0,30.0,42.0,17608.0,2951
393,100,66.0,46,34,68.34,161171.0,35,1967,140,Nigma Galaxy,137372.0,32.0,37.0,19904.0,2851
394,12,9.0,26,21,26.34,41325.0,6,599,68,Evil Geniuses,34327.0,11.0,14.0,121.0,1774
395,42,3.0,6,51,26.34,57354.0,25,649,79,Nigma Galaxy,57930.0,12.0,10.0,16781.0,2280
396,47,9.0,42,48,55.2,138572.0,26,1453,123,Fnatic,82945.0,26.0,35.0,5123.0,2487
397,88,7.0,26,34,55.2,173181.0,41,1403,131,Nigma Galaxy,111989.0,25.0,34.0,8641.0,2895
398,14,1.0,27,39,29.45,52982.0,6,504,64,Evil Geniuses,29639.0,13.0,10.0,1055.0,1382
399,75,59.0,7,46,29.45,73736.0,27,602,86,Team Liquid,57926.0,13.0,18.0,17192.0,2288
400,59,41.0,18,62,33.51,77387.0,24,885,104,Fnatic,73288.0,15.0,18.0,16246.0,2854
401,44,21.0,24,57,33.51,69728.0,18,1012,90,Team Liquid,61901.0,15.0,11.0,4717.0,2146
402,24,18.191974595842957,37,24,32.21,45112.0,12,475,65,Evil Geniuses,38290.0,13.504618937644342,19.03002309468822,1341.0,1610
403,82,18.191974595842957,13,26,32.21,66110.0,37,629,84,Team Liquid,64549.0,13.504618937644342,19.03002309468822,4347.0,2469
404,37,18.191974595842957,11,32,31.23,81486.7612757732,19,670,81,Evil Geniuses,62238.098293113595,13.504618937644342,19.03002309468822,9776.290127020786,2321
